"dataset","dp_names","dps_unique","dps_total","dps_abstract_factory","dps_adapter","dps_builder","dps_facade","dps_factory_method","dps_observer","dps_singleton","dps_decorator","dps_memento","dps_prototype","dps_proxy","dps_visitor"
"dpdf-cdt","[Adapter] [Builder] [Prototype] [Factory Method] [Decorator] [Proxy] [Visitor]","7","62","0","19","7","0","1","0","0","7","0","2","13","13"
"dpdf-pizzaapp","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-emergency-service-drools-app","[Factory Method] [Singleton]","2","2","0","0","0","0","1","0","1","0","0","0","0","0"
"dpdf-tomcat70","[Factory Method]","1","2","0","0","0","0","2","0","0","0","0","0","0","0"
"dpdf-cfeclipse","[Decorator]","1","6","0","0","0","0","0","0","0","6","0","0","0","0"
"dpdf-betterform","[Facade]","1","1","0","0","0","1","0","0","0","0","0","0","0","0"
"dpdf-s4","[Prototype]","1","2","0","0","0","0","0","0","0","0","0","2","0","0"
"dpdf-pellet","[Builder] [Visitor]","2","16","0","0","4","0","0","0","0","0","0","0","0","12"
"dpdf-a7b36ass","[Abstract Factory]","1","3","3","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-fuzzydb","[Decorator]","1","5","0","0","0","0","0","0","0","5","0","0","0","0"
"dpdf-eclipsejdtcore","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-axonframework","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-bio_quiz","[Facade]","1","4","0","0","0","4","0","0","0","0","0","0","0","0"
"dpdf-catroid","[Adapter] [Prototype]","2","2","0","1","0","0","0","0","0","0","0","1","0","0"
"dpdf-see","[Abstract Factory]","1","5","5","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-soapui","[Builder] [Factory Method]","2","8","0","0","3","0","5","0","0","0","0","0","0","0"
"dpdf-chute-android-components","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-onebusaway-application-modules","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-client","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-de-webapp","[Builder] [Facade]","2","8","0","0","2","6","0","0","0","0","0","0","0","0"
"dpdf-fest-reflect","[Decorator]","1","3","0","0","0","0","0","0","0","3","0","0","0","0"
"dpdf-jogetworkflow","[Facade]","1","2","0","0","0","2","0","0","0","0","0","0","0","0"
"dpdf-biomixer","[Factory Method] [Memento]","2","15","0","0","0","0","14","0","0","0","1","0","0","0"
"dpdf-agetac-ng","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-tapestry-bootstrap","[Factory Method] [Decorator]","2","3","0","0","0","0","2","0","0","1","0","0","0","0"
"dpdf-sherlog","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-android-rackspacecloud","[Singleton]","1","3","0","0","0","0","0","0","3","0","0","0","0","0"
"dpdf-ibatisworkshop","[Singleton]","1","2","0","0","0","0","0","0","2","0","0","0","0","0"
"dpdf-arquillian_deprecated","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-java-game-server","[Factory Method] [Abstract Factory] [Singleton]","3","4","1","0","0","0","2","0","1","0","0","0","0","0"
"dpdf-mitfahrzentraleclient","[Factory Method]","1","1","0","0","0","0","1","0","0","0","0","0","0","0"
"dpdf-javadesignpatternexercises","[Memento] [Observer]","2","4","0","0","0","0","0","2","0","0","2","0","0","0"
"dpdf-opensig","[Proxy] [Visitor]","2","4","0","0","0","0","0","0","0","0","0","0","3","1"
"dpdf-magic-config","[Factory Method] [Decorator]","2","7","0","0","0","0","2","0","0","5","0","0","0","0"
"dpdf-nuxeo-tycho-osgi","[Memento]","1","2","0","0","0","0","0","0","0","0","2","0","0","0"
"dpdf-generic-graph-view","[Memento] [Abstract Factory]","2","7","6","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-android-simple-social-sharing","[Observer]","1","2","0","0","0","0","0","2","0","0","0","0","0","0"
"dpdf-zen-project","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-cw-omnibus","[Adapter]","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"dpdf-hivedb","[Facade] [Singleton]","2","3","0","0","0","2","0","0","1","0","0","0","0","0"
"dpdf-movsim","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-cxf","[Builder] [Visitor] [Observer]","3","35","0","0","8","0","0","7","0","0","0","0","0","20"
"dpdf-carrot2","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-geronimo","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-hunapknotifier","[Adapter]","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"dpdf-helma","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-java-patterns","[Abstract Factory]","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-turtleplayer","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-clusterbench","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-dozer","[Builder] [Factory Method]","2","9","0","0","4","0","5","0","0","0","0","0","0","0"
"dpdf-bmach","[Observer]","1","2","0","0","0","0","0","2","0","0","0","0","0","0"
"dpdf-allbinary-platform","[Singleton]","1","26","0","0","0","0","0","0","26","0","0","0","0","0"
"dpdf-lol-chat","[Facade]","1","2","0","0","0","2","0","0","0","0","0","0","0","0"
"dpdf-eclipseplatformdebug","[Memento]","1","13","0","0","0","0","0","0","0","0","13","0","0","0"
"dpdf-gansenbang","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-stratosphere","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-idv","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-molgenis_apps","[Decorator]","1","13","0","0","0","0","0","0","0","13","0","0","0","0"
"dpdf-emma","[Visitor]","1","8","0","0","0","0","0","0","0","0","0","0","0","8"
"dpdf-protogrid","[Prototype]","1","2","0","0","0","0","0","0","0","0","0","2","0","0"
"dpdf-maven-3","[Builder] [Factory Method]","2","11","0","0","6","0","5","0","0","0","0","0","0","0"
"dpdf-dual-battery-widget","[Adapter] [Factory Method] [Observer]","3","4","0","2","0","0","1","1","0","0","0","0","0","0"
"dpdf-uk-ejemplos","[Observer]","1","3","0","0","0","0","0","3","0","0","0","0","0","0"
"dpdf-santuario-java","[Factory Method] [Proxy]","2","5","0","0","0","0","2","0","0","0","0","0","3","0"
"dpdf-harmony-classlib","[Proxy] [Observer]","2","16","0","0","0","0","0","1","0","0","0","0","15","0"
"dpdf-jabylon","[Memento] [Abstract Factory]","2","4","2","0","0","0","0","0","0","0","2","0","0","0"
"dpdf-fop","[Observer]","1","2","0","0","0","0","0","2","0","0","0","0","0","0"
"dpdf-cogroo4","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-pydev","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-computercraft-spout","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-directory-server","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-mavenized-wave-in-a-box","[Abstract Factory]","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-petals-studio","[Abstract Factory]","1","12","12","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-wonder","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-crunch","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-cours-3eme-ann-e","[Facade]","1","3","0","0","0","3","0","0","0","0","0","0","0","0"
"dpdf-maven-cuke4duke-jump-start","[Facade]","1","1","0","0","0","1","0","0","0","0","0","0","0","0"
"dpdf-cs230-software-project","[Observer]","1","2","0","0","0","0","0","2","0","0","0","0","0","0"
"dpdf-studio3","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-androidbillinglibrary","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-openejb","[Singleton]","1","10","0","0","0","0","0","0","10","0","0","0","0","0"
"dpdf-studio2","[Memento]","1","2","0","0","0","0","0","0","0","0","2","0","0","0"
"dpdf-sitemesh2","[Decorator]","1","1","0","0","0","0","0","0","0","1","0","0","0","0"
"dpdf-sslr","[Visitor]","1","9","0","0","0","0","0","0","0","0","0","0","0","9"
"dpdf-spring-social-twitter","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-jpatterns","[Factory Method] [Abstract Factory]","2","2","1","0","0","0","1","0","0","0","0","0","0","0"
"dpdf-android_1","[Factory Method]","1","1","0","0","0","0","1","0","0","0","0","0","0","0"
"dpdf-kodejava","[Singleton]","1","2","0","0","0","0","0","0","2","0","0","0","0","0"
"dpdf-robo-remote","[Singleton]","1","2","0","0","0","0","0","0","2","0","0","0","0","0"
"dpdf-hbase","[Factory Method] [Singleton]","2","3","0","0","0","0","2","0","1","0","0","0","0","0"
"dpdf-liferay-portal","[Prototype]","1","8","0","0","0","0","0","0","0","0","0","8","0","0"
"dpdf-console_1","[Singleton]","1","3","0","0","0","0","0","0","3","0","0","0","0","0"
"dpdf-graph-collections","[Visitor]","1","1","0","0","0","0","0","0","0","0","0","0","0","1"
"dpdf-swing-mvc-demo","[Observer]","1","3","0","0","0","0","0","3","0","0","0","0","0","0"
"dpdf-archaius","[Adapter]","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"dpdf-gson","[Adapter]","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"dpdf-abdera","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-swe12-drone","[Adapter] [Prototype]","2","2","0","1","0","0","0","0","0","0","0","1","0","0"
"dpdf-james","[Abstract Factory] [Proxy]","2","3","2","0","0","0","0","0","0","0","0","0","1","0"
"dpdf-flume_1","[Decorator]","1","24","0","0","0","0","0","0","0","24","0","0","0","0"
"dpdf-protoj","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-ocl","[Abstract Factory]","1","17","17","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-suite","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-alitheia-core","[Proxy]","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"dpdf-tapit-android-sdk-source","[Prototype] [Proxy]","2","8","0","0","0","0","0","0","0","0","0","4","4","0"
"dpdf-coala","[Builder]","1","4","0","0","4","0","0","0","0","0","0","0","0","0"
"dpdf-zk","[Abstract Factory]","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-lord-of-ultima-manager","[Adapter]","1","5","0","5","0","0","0","0","0","0","0","0","0","0"
"dpdf-mps","[Memento]","1","3","0","0","0","0","0","0","0","0","3","0","0","0"
"dpdf-beequeue","[Proxy]","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"dpdf-jge3d","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-samygo-android-remote","[Factory Method]","1","3","0","0","0","0","3","0","0","0","0","0","0","0"
"dpdf-milton","[Factory Method] [Abstract Factory] [Observer]","3","6","3","0","0","0","2","1","0","0","0","0","0","0"
"dpdf-cucumber-jvm","[Factory Method] [Singleton]","2","4","0","0","0","0","3","0","1","0","0","0","0","0"
